EXEC_FULLNAME;CO_PER_ROL;CONAME;TITLEANN;SALARY;BONUS;STOCK_AWARDS;OPTION_AWARDS;AGE;GVKEY;YEAR;BECAMECEO;PCEO;TITLE;GENDER;SICDESC;TICKER;SIC
Thilo Semmelbauer;53517;SHUTTERSTOCK INC;President and Chief Operating Officer;350.962;0;0;0;48;3382;2013;;;President and Chief Operating Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
James Chou;53519;SHUTTERSTOCK INC;Chief Technology Officer;285.165;0;0;0;52;3382;2013;;;Chief Technology Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Jonathan Oringer;53515;SHUTTERSTOCK INC;Founder, Chairman of Board and Chief Executive Officer;86.538;0;5870;21630;40;3382;2014;03/05/2022;;Founder & Executive Chairman;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Timothy E. Bixby;53516;SHUTTERSTOCK INC;Chief Financial Officer, Chief Accounting Officer and Secretary;361.923;0;1472.55;0;49;3382;2014;;;Chief Financial Officer, Chief Accounting Officer and Treasurer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Thilo Semmelbauer;53517;SHUTTERSTOCK INC;President and Chief Operating Officer;350;0;2454.25;0;49;3382;2014;;;President and Chief Operating Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
James Chou;53519;SHUTTERSTOCK INC;Chief Technology Officer;295.385;0;736.275;0;53;3382;2014;;;Chief Technology Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Aditi Javeri Gokhale;53511;SHUTTERSTOCK INC;Chief Marketing Officer;238.462;0;3004.26;0;41;3382;2015;;;Chief Marketing Officer;FEMALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Steven Berns;53512;SHUTTERSTOCK INC;Chief Financial Officer and Treasurer;144.231;200;1193.2;1523;50;3382;2015;;;Chief Operating Officer, Chief Financial Officer and Treasurer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Anshu Aggarwal;53513;SHUTTERSTOCK INC;Chief Technology Officer;76.154;0;1303.65;891;45;3382;2015;;;Chief Technology Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Peter Phelan;53514;SHUTTERSTOCK INC;Chief People Officer;26.923;0;728.4;471.75;;3382;2015;;;Chief People Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Jonathan Oringer;53515;SHUTTERSTOCK INC;Founder, Chairman of Board and Chief Executive Officer;1;0;0;0;41;3382;2015;03/05/2022;;Founder & Executive Chairman;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Timothy E. Bixby;53516;SHUTTERSTOCK INC;Chief Financial Officer, Chief Accounting Officer and Treasurer;354.615;0;1170.2;0;50;3382;2015;;;Chief Financial Officer, Chief Accounting Officer and Treasurer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Catherine Ulrich;53518;SHUTTERSTOCK INC;Chief Product Officer;324.423;0;2342.32;1185;31;3382;2015;;;Chief Product Officer;FEMALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Juliane Horton;60914;SHUTTERSTOCK INC;;238.462;0;3004.26;0;;3382;2015;;;;FEMALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Steven Berns;53512;SHUTTERSTOCK INC;Chief Financial Officer, Chief Operating Officer and Treasurer;500;0;521.4;714.8;51;3382;2016;;;Chief Operating Officer, Chief Financial Officer and Treasurer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Jonathan Oringer;53515;SHUTTERSTOCK INC;Founder, Chairman and Chief Executive Officer;1;0;0;4467.5;42;3382;2016;03/05/2022;;Founder & Executive Chairman;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Jeffrey Weiser;55180;SHUTTERSTOCK INC;Chief Marketing Officer;250.962;100;1377;805;39;3382;2016;;;Chief Marketing Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Matthew Jagoda;55181;SHUTTERSTOCK INC;Chief People Officer;245.192;75;1147.5;690;;3382;2016;;;Chief People Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
David Giambruno;55182;SHUTTERSTOCK INC;Chief Information Officer;228.864;0;367.2;276;49;3382;2016;;;Chief Information Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Steven Ciardiello;59874;SHUTTERSTOCK INC;;47.115;0;814.68;0;45;3382;2016;;;Chief Accounting Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Steven Berns;53512;SHUTTERSTOCK INC;Chief Operating Officer, Chief Financial Officer and Treasurer;584.615;0;675.15;456;52;3382;2017;;;Chief Operating Officer, Chief Financial Officer and Treasurer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Jonathan Oringer;53515;SHUTTERSTOCK INC;Founder, Chairman and Chief Executive Officer;1;0;0;0;43;3382;2017;03/05/2022;;Founder & Executive Chairman;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
David Giambruno;55182;SHUTTERSTOCK INC;Chief Information Officer;371.058;0;900.2;228;50;3382;2017;;;Chief Information Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Martin H. Brodbeck;59873;SHUTTERSTOCK INC;Chief Technology Officer;398.461;0;1591.5;933.45;44;3382;2017;;;Chief Technology Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Steven Ciardiello;59874;SHUTTERSTOCK INC;Principal Accounting Officer;350;0;0;0;46;3382;2017;;;Chief Accounting Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Lisa Nadler;59875;SHUTTERSTOCK INC;Chief Human Resources Officer;240.385;0;946.215;122.88;54;3382;2017;;;Chief Human Resources Officer;FEMALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Steven Berns;53512;SHUTTERSTOCK INC;Chief Operating Officer, Chief Financial Officer and Treasurer;600;0;1611.141;0;53;3382;2018;;;Chief Operating Officer, Chief Financial Officer and Treasurer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Jonathan Oringer;53515;SHUTTERSTOCK INC;Founder, Chairman and Chief Executive Officer;1;0;0;0;44;3382;2018;03/05/2022;;Founder & Executive Chairman;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Martin H. Brodbeck;59873;SHUTTERSTOCK INC;Chief Technology Officer;484.615;0;1611.141;0;45;3382;2018;;;Chief Technology Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Lisa Nadler;59875;SHUTTERSTOCK INC;Chief Human Resources Officer;500;0;1288.923;0;55;3382;2018;;;Chief Human Resources Officer;FEMALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Louis H. Weiss;62020;SHUTTERSTOCK INC;;380.769;0;962.549;499.986;49;3382;2018;;;;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Steven Berns;53512;SHUTTERSTOCK INC;Chief Operating Officer, Chief Financial Officer and Treasurer;293.347;0;2298.689;0;54;3382;2019;;;Chief Operating Officer, Chief Financial Officer and Treasurer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Jonathan Oringer;53515;SHUTTERSTOCK INC;Founder & Executive Chairman;1;0;4597.471;0;45;3382;2019;03/05/2022;;Founder & Executive Chairman;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Steven Ciardiello;59874;SHUTTERSTOCK INC;Chief Accounting Officer;372.692;200;910.851;0;48;3382;2019;;;Chief Accounting Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Lisa Nadler;59875;SHUTTERSTOCK INC;Chief Human Resources Officer;500;0;1021.624;0;56;3382;2019;;;Chief Human Resources Officer;FEMALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Louis H. Weiss;62020;SHUTTERSTOCK INC;;450;0;1021.624;0;50;3382;2019;;;;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Jarrod Yahes;64124;SHUTTERSTOCK INC;Chief Financial Officer;31.731;0;0;0;43;3382;2019;;;Chief Financial Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Stan Pavlovsky;64125;SHUTTERSTOCK INC;CEO & Director;450;0;2298.689;1499.991;47;3382;2019;01/04/2020;CEO;CEO & Director;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Jonathan Oringer;53515;SHUTTERSTOCK INC;Founder & Executive Chairman;1;0;4762.332;0;46;3382;2020;03/05/2022;;Founder & Executive Chairman;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Steven Ciardiello;59874;SHUTTERSTOCK INC;Chief Accounting Officer;367.789;0;661.052;0;49;3382;2020;;;Chief Accounting Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Jarrod Yahes;64124;SHUTTERSTOCK INC;Chief Financial Officer;539.423;0;1270.886;999.995;44;3382;2020;;;Chief Financial Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Stan Pavlovsky;64125;SHUTTERSTOCK INC;CEO & Director;610.385;0;5583.809;0;48;3382;2020;01/04/2020;CEO;CEO & Director;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Abraham Moshe Muchnick;65565;SHUTTERSTOCK INC;;307.693;0;751.852;0;41;3382;2020;;;;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Peter Silvio;65566;SHUTTERSTOCK INC;Chief Technology Officer;392.308;0;529.144;0;42;3382;2020;;;Chief Technology Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Jonathan Oringer;53515;SHUTTERSTOCK INC;Founder & Executive Chairman;1;0;5164.489;0;47;3382;2021;03/05/2022;;Founder & Executive Chairman;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Jarrod Yahes;64124;SHUTTERSTOCK INC;Chief Financial Officer;550;0;2065.65;0;45;3382;2021;;;Chief Financial Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Stan Pavlovsky;64125;SHUTTERSTOCK INC;CEO & Director;700;0;4131.482;0;49;3382;2021;01/04/2020;CEO;CEO & Director;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Peter Silvio;65566;SHUTTERSTOCK INC;Chief Technology Officer;400;0;1136.062;0;43;3382;2021;;;Chief Technology Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Bruce A. Crawford;3056;OMNICOM GROUP INC;;800;500;-1;-1;;4066;1992;20/03/1989;;Chairman, Chairman of Finance Committee and Member of Executive Committee;MALE;ADVERTISING AGENCIES;OMC;7311
James A. Cannon;3057;OMNICOM GROUP INC;;353.75;335;-1;-1;;4066;1992;;;v-chmn. & CFO-BBDO Worlwide;MALE;ADVERTISING AGENCIES;OMC;7311
Fred J. Meyer;3058;OMNICOM GROUP INC;;462.5;400;-1;-1;;4066;1992;;;v-chmn;MALE;ADVERTISING AGENCIES;OMC;7311
Keith L. Reinhard;3059;OMNICOM GROUP INC;;740.306;165;-1;-1;;4066;1992;;;chairman & CEO-DDB;MALE;ADVERTISING AGENCIES;OMC;7311
Allen Rosenshine;3060;OMNICOM GROUP INC;;706.25;480;-1;-1;;4066;1992;;;chairman & CEO-BBDO;MALE;ADVERTISING AGENCIES;OMC;7311
Bruce A. Crawford;3056;OMNICOM GROUP INC;pres. & CEO;875;565;-1;-1;65;4066;1993;20/03/1989;;Chairman, Chairman of Finance Committee and Member of Executive Committee;MALE;ADVERTISING AGENCIES;OMC;7311
James A. Cannon;3057;OMNICOM GROUP INC;v-chmn. & CFO-BBDO Worlwide;380;335;-1;-1;55;4066;1993;;;v-chmn. & CFO-BBDO Worlwide;MALE;ADVERTISING AGENCIES;OMC;7311
Fred J. Meyer;3058;OMNICOM GROUP INC;CFO;500;475;-1;-1;63;4066;1993;;;v-chmn;MALE;ADVERTISING AGENCIES;OMC;7311
Keith L. Reinhard;3059;OMNICOM GROUP INC;chmn. & CEO-DDB Needham;752.8;190;-1;-1;59;4066;1993;;;chairman & CEO-DDB;MALE;ADVERTISING AGENCIES;OMC;7311
Allen Rosenshine;3060;OMNICOM GROUP INC;chmn. & CEO-BBDO Worldwide;725;480;-1;-1;55;4066;1993;;;chairman & CEO-BBDO;MALE;ADVERTISING AGENCIES;OMC;7311
John D. Wren;5109;OMNICOM GROUP INC;;350;350;-1;-1;;4066;1993;01/01/1997;CEO;Chairman & CEO;MALE;ADVERTISING AGENCIES;OMC;7311
Bruce A. Crawford;3056;OMNICOM GROUP INC;pres. & CEO;921.25;1125;-1;-1;66;4066;1994;20/03/1989;;Chairman, Chairman of Finance Committee and Member of Executive Committee;MALE;ADVERTISING AGENCIES;OMC;7311
Fred J. Meyer;3058;OMNICOM GROUP INC;CFO;556.25;850;-1;-1;64;4066;1994;;;v-chmn;MALE;ADVERTISING AGENCIES;OMC;7311
Keith L. Reinhard;3059;OMNICOM GROUP INC;chmn. & CEO-DDB Needham;809.056;550;-1;-1;60;4066;1994;;;chairman & CEO-DDB;MALE;ADVERTISING AGENCIES;OMC;7311
Allen Rosenshine;3060;OMNICOM GROUP INC;chmn. & CEO-BBDO Worldwide;768.75;500;-1;-1;56;4066;1994;;;chairman & CEO-BBDO;MALE;ADVERTISING AGENCIES;OMC;7311
John D. Wren;5109;OMNICOM GROUP INC;chmn. & CEO-agency svcs. div.;450;550;-1;-1;42;4066;1994;01/01/1997;CEO;Chairman & CEO;MALE;ADVERTISING AGENCIES;OMC;7311
Bruce A. Crawford;3056;OMNICOM GROUP INC;chmn. & CEO;985;1520;-1;-1;67;4066;1995;20/03/1989;;Chairman, Chairman of Finance Committee and Member of Executive Committee;MALE;ADVERTISING AGENCIES;OMC;7311
Fred J. Meyer;3058;OMNICOM GROUP INC;CFO;587.5;1150;-1;-1;65;4066;1995;;;v-chmn;MALE;ADVERTISING AGENCIES;OMC;7311
Keith L. Reinhard;3059;OMNICOM GROUP INC;chmn. & CEO-DDB Needham;827.806;600;-1;-1;61;4066;1995;;;chairman & CEO-DDB;MALE;ADVERTISING AGENCIES;OMC;7311
Allen Rosenshine;3060;OMNICOM GROUP INC;chmn. & CEO-BBDO Worldwide;800;625;-1;-1;57;4066;1995;;;chairman & CEO-BBDO;MALE;ADVERTISING AGENCIES;OMC;7311
John D. Wren;5109;OMNICOM GROUP INC;pres.;500;800;-1;-1;43;4066;1995;01/01/1997;CEO;Chairman & CEO;MALE;ADVERTISING AGENCIES;OMC;7311
Bruce A. Crawford;3056;OMNICOM GROUP INC;chmn. & CEO;985;2130;-1;-1;68;4066;1996;20/03/1989;;Chairman, Chairman of Finance Committee and Member of Executive Committee;MALE;ADVERTISING AGENCIES;OMC;7311
Fred J. Meyer;3058;OMNICOM GROUP INC;CFO;625;1610;-1;-1;;4066;1996;;;v-chmn;MALE;ADVERTISING AGENCIES;OMC;7311
Keith L. Reinhard;3059;OMNICOM GROUP INC;chmn. & CEO-DDB Needham;877.806;975;-1;-1;62;4066;1996;;;chairman & CEO-DDB;MALE;ADVERTISING AGENCIES;OMC;7311
Allen Rosenshine;3060;OMNICOM GROUP INC;chmn. & CEO-BBDO Worldwide;829.167;750;-1;-1;58;4066;1996;;;chairman & CEO-BBDO;MALE;ADVERTISING AGENCIES;OMC;7311
John D. Wren;5109;OMNICOM GROUP INC;pres.;650;1150;-1;-1;44;4066;1996;01/01/1997;CEO;Chairman & CEO;MALE;ADVERTISING AGENCIES;OMC;7311
William G. Tragos;16572;OMNICOM GROUP INC;;662.472;1101.499;-1;-1;;4066;1996;;;chmn.-TBWA Worldwide;MALE;ADVERTISING AGENCIES;OMC;7311
Bruce A. Crawford;3056;OMNICOM GROUP INC;chmn.;985;1000;-1;-1;69;4066;1997;20/03/1989;;Chairman, Chairman of Finance Committee and Member of Executive Committee;MALE;ADVERTISING AGENCIES;OMC;7311
Fred J. Meyer;3058;OMNICOM GROUP INC;CFO;625;1690;-1;-1;;4066;1997;;;v-chmn;MALE;ADVERTISING AGENCIES;OMC;7311
Keith L. Reinhard;3059;OMNICOM GROUP INC;chmn. & CEO-DDB Needham;877.806;1625;-1;-1;63;4066;1997;;;chairman & CEO-DDB;MALE;ADVERTISING AGENCIES;OMC;7311
Allen Rosenshine;3060;OMNICOM GROUP INC;chmn. & CEO-BBDO Worldwide;850;925;-1;-1;59;4066;1997;;;chairman & CEO-BBDO;MALE;ADVERTISING AGENCIES;OMC;7311
John D. Wren;5109;OMNICOM GROUP INC;pres. & CEO;875;1600;-1;-1;45;4066;1997;01/01/1997;CEO;Chairman & CEO;MALE;ADVERTISING AGENCIES;OMC;7311
William G. Tragos;16572;OMNICOM GROUP INC;;662.472;789.633;-1;-1;;4066;1997;;;chmn.-TBWA Worldwide;MALE;ADVERTISING AGENCIES;OMC;7311
Fred J. Meyer;3058;OMNICOM GROUP INC;v-chmn;681.25;1860;-1;-1;;4066;1998;;;v-chmn;MALE;ADVERTISING AGENCIES;OMC;7311
Keith L. Reinhard;3059;OMNICOM GROUP INC;chmn. & CEO-DDB Needham;925;2065;-1;-1;64;4066;1998;;;chairman & CEO-DDB;MALE;ADVERTISING AGENCIES;OMC;7311
Allen Rosenshine;3060;OMNICOM GROUP INC;chmn. & CEO-BBDO Worldwide;893.75;2400;-1;-1;60;4066;1998;;;chairman & CEO-BBDO;MALE;ADVERTISING AGENCIES;OMC;7311
John D. Wren;5109;OMNICOM GROUP INC;pres. & CEO;875;2550;-1;-1;46;4066;1998;01/01/1997;CEO;Chairman & CEO;MALE;ADVERTISING AGENCIES;OMC;7311
William G. Tragos;16572;OMNICOM GROUP INC;chmn.-TBWA Worldwide;737.472;1000;-1;-1;;4066;1998;;;chmn.-TBWA Worldwide;MALE;ADVERTISING AGENCIES;OMC;7311
Keith L. Reinhard;3059;OMNICOM GROUP INC;chmn. & CEO-DDB;925;2295;-1;-1;65;4066;1999;;;chairman & CEO-DDB;MALE;ADVERTISING AGENCIES;OMC;7311
Allen Rosenshine;3060;OMNICOM GROUP INC;chmn. & CEO-BBDO;925;2400;-1;-1;61;4066;1999;;;chairman & CEO-BBDO;MALE;ADVERTISING AGENCIES;OMC;7311
John D. Wren;5109;OMNICOM GROUP INC;pres. & CEO;875;2550;-1;-1;47;4066;1999;01/01/1997;CEO;Chairman & CEO;MALE;ADVERTISING AGENCIES;OMC;7311
Bernard Brochand;18940;OMNICOM GROUP INC;pres.-DDB-intl division;550;916;-1;-1;61;4066;1999;;;pres.-DDB-intl division;MALE;ADVERTISING AGENCIES;OMC;7311
Thomas L. Harrison, L.H.D., LHD;18941;OMNICOM GROUP INC;chmn.&CEO-divsfd agency svcs;825;2500;-1;-1;52;4066;1999;;;Chairman of Diversified Agency Services and Chief Executive Officer of Diversified Agency Services;MALE;ADVERTISING AGENCIES;OMC;7311
Keith L. Reinhard;3059;OMNICOM GROUP INC;chairman & CEO-DDB;925;2200;-1;-1;66;4066;2000;;;chairman & CEO-DDB;MALE;ADVERTISING AGENCIES;OMC;7311
Allen Rosenshine;3060;OMNICOM GROUP INC;chairman & CEO-BBDO;985;2025;-1;-1;62;4066;2000;;;chairman & CEO-BBDO;MALE;ADVERTISING AGENCIES;OMC;7311
John D. Wren;5109;OMNICOM GROUP INC;president & CEO;875;2200;-1;-1;48;4066;2000;01/01/1997;CEO;Chairman & CEO;MALE;ADVERTISING AGENCIES;OMC;7311
Thomas L. Harrison, L.H.D., LHD;18941;OMNICOM GROUP INC;chairman & CEO-Diversified Agency Services;825;2200;-1;-1;53;4066;2000;;;Chairman of Diversified Agency Services and Chief Executive Officer of Diversified Agency Services;MALE;ADVERTISING AGENCIES;OMC;7311
Peter Mead;21568;OMNICOM GROUP INC;vice chairman;750;2137.5;-1;-1;;4066;2000;;;vice chairman;MALE;ADVERTISING AGENCIES;OMC;7311
Keith L. Reinhard;3059;OMNICOM GROUP INC;chairman & CEO-DDB;925;1100;-1;-1;67;4066;2001;;;chairman & CEO-DDB;MALE;ADVERTISING AGENCIES;OMC;7311
Allen Rosenshine;3060;OMNICOM GROUP INC;chairman & CEO-BBDO;985;1100;-1;-1;;4066;2001;;;chairman & CEO-BBDO;MALE;ADVERTISING AGENCIES;OMC;7311
John D. Wren;5109;OMNICOM GROUP INC;president & CEO;875;1300;-1;-1;49;4066;2001;01/01/1997;CEO;Chairman & CEO;MALE;ADVERTISING AGENCIES;OMC;7311
Thomas L. Harrison, L.H.D., LHD;18941;OMNICOM GROUP INC;chairman & CEO-Diversified Agency Services;825;1200;-1;-1;;4066;2001;;;Chairman of Diversified Agency Services and Chief Executive Officer of Diversified Agency Services;MALE;ADVERTISING AGENCIES;OMC;7311
Peter Mead;21568;OMNICOM GROUP INC;vice chairman;750;1275;-1;-1;;4066;2001;;;vice chairman;MALE;ADVERTISING AGENCIES;OMC;7311
Keith L. Reinhard;3059;OMNICOM GROUP INC;chairman & CEO-DDB;925;0;-1;-1;;4066;2002;;;chairman & CEO-DDB;MALE;ADVERTISING AGENCIES;OMC;7311
Allen Rosenshine;3060;OMNICOM GROUP INC;chairman & CEO-BBDO;985;0;-1;-1;;4066;2002;;;chairman & CEO-BBDO;MALE;ADVERTISING AGENCIES;OMC;7311
John D. Wren;5109;OMNICOM GROUP INC;president & CEO;875;0;-1;-1;50;4066;2002;01/01/1997;CEO;Chairman & CEO;MALE;ADVERTISING AGENCIES;OMC;7311
Thomas L. Harrison, L.H.D., LHD;18941;OMNICOM GROUP INC;chairman & CEO-diversified agency services;825;0;-1;-1;;4066;2002;;;Chairman of Diversified Agency Services and Chief Executive Officer of Diversified Agency Services;MALE;ADVERTISING AGENCIES;OMC;7311
Peter Mead;21568;OMNICOM GROUP INC;vice chairman;800;0;-1;-1;;4066;2002;;;vice chairman;MALE;ADVERTISING AGENCIES;OMC;7311
Jean-Marie Dru;29331;OMNICOM GROUP INC;;813.022;0;-1;-1;;4066;2002;;;CEO-TBWA Worldwide;MALE;ADVERTISING AGENCIES;OMC;7311
Randall J. Weisenburger;29333;OMNICOM GROUP INC;;750;0;-1;-1;;4066;2002;;;Chief Financial Officer and Executive Vice President;MALE;ADVERTISING AGENCIES;OMC;7311
Allen Rosenshine;3060;OMNICOM GROUP INC;chairman & CEO-BBDO;985;500;-1;-1;;4066;2003;;;chairman & CEO-BBDO;MALE;ADVERTISING AGENCIES;OMC;7311
John D. Wren;5109;OMNICOM GROUP INC;president & CEO;1000;1100;-1;-1;51;4066;2003;01/01/1997;CEO;Chairman & CEO;MALE;ADVERTISING AGENCIES;OMC;7311
Thomas L. Harrison, L.H.D., LHD;18941;OMNICOM GROUP INC;chairman & CEO-diversified agency services;881;750;-1;-1;;4066;2003;;;Chairman of Diversified Agency Services and Chief Executive Officer of Diversified Agency Services;MALE;ADVERTISING AGENCIES;OMC;7311
Peter Mead;21568;OMNICOM GROUP INC;vice chairman;815;525;-1;-1;;4066;2003;;;vice chairman;MALE;ADVERTISING AGENCIES;OMC;7311
Kenneth R. Kaess, Jr.;27686;OMNICOM GROUP INC;president & CEO-DDB Worldwide;806;525;-1;-1;;4066;2003;;;president & CEO-DDB Worldwide;MALE;ADVERTISING AGENCIES;OMC;7311
Jean-Marie Dru;29331;OMNICOM GROUP INC;;938.275;0;-1;-1;;4066;2003;;;CEO-TBWA Worldwide;MALE;ADVERTISING AGENCIES;OMC;7311
Randall J. Weisenburger;29333;OMNICOM GROUP INC;;975;350;-1;-1;;4066;2003;;;Chief Financial Officer and Executive Vice President;MALE;ADVERTISING AGENCIES;OMC;7311
John D. Wren;5109;OMNICOM GROUP INC;president & CEO;1000;4000;-1;-1;52;4066;2004;01/01/1997;CEO;Chairman & CEO;MALE;ADVERTISING AGENCIES;OMC;7311
Thomas L. Harrison, L.H.D., LHD;18941;OMNICOM GROUP INC;;900;1750;-1;-1;;4066;2004;;;Chairman of Diversified Agency Services and Chief Executive Officer of Diversified Agency Services;MALE;ADVERTISING AGENCIES;OMC;7311
